brand,currency,price,colors,name,sizes,categories
josmo,usd,39.89,grey,"josmo 8190 plain infant walking shoes, navy - wide - size 7. 5",5,"clothing,shoes,men's shoes,all men's shoes"
josmo,usd,51.99,black,"josmo 8190 plain infant walking shoes, navy - wide - size 7. 5",6,"clothing,shoes,men's shoes,all men's shoes"
servus by honeywell,usd,40.02,beige,servus by honeywell shoe studs zsr101blmlg,12,"all men's shoes,shoes,men's shoes,clothing"
servus by honeywell,usd,50.31,brown,servus by honeywell shoe studs zsr101blmlg,4,"all men's shoes,shoes,men's shoes,clothing"
servus by honeywell,usd,46.26,black,servus by honeywell shoe studs zsr101blmlg,12,"all men's shoes,shoes,men's shoes,clothing"
servus by honeywell,usd,55.99,beige,servus by honeywell shoe studs zsr101blmlg,9,"all men's shoes,shoes,men's shoes,clothing"
servus by honeywell,usd,41.12,red,servus by honeywell shoe studs zsr101blmlg,6,"all men's shoes,shoes,men's shoes,clothing"
servus by honeywell,usd,46.19,red,servus by honeywell shoe studs zsr101blmlg,12,"all men's shoes,shoes,men's shoes,clothing"
servus by honeywell,usd,21.4,black,servus by honeywell shoe studs zsr101blmlg,7,"all men's shoes,shoes,men's shoes,clothing"
servus by honeywell,usd,45.23,green,servus by honeywell shoe studs zsr101blmlg,12,"all men's shoes,shoes,men's shoes,clothing"
native,usd,45,brown,native miller men us 10 gray loafer uk 9 eu 43,7,"men's casual shoes,shoes,men's shoes,clothing"
native,usd,7.99,grey,native miller men us 10 gray loafer uk 9 eu 43,7,"men's casual shoes,shoes,men's shoes,clothing"
native,usd,9.99,beige,native miller men us 10 gray loafer uk 9 eu 43,10,"men's casual shoes,shoes,men's shoes,clothing"
maui and sons,usd,9.99,"red,black,sketchy slant,yellow,blackblue,blackred,sharky tribe,pro ocean,blackblueyellow,gray,helms,blackgreenyellow,blue,green,black-white,black multi,grayblack",maui and sons david men  open toe synthetic  flip flop sandal,8,"all men's shoes,shoes,men's shoes,clothing"
